"","Seq","Lat","Lon","prop"
"175",121156,5.75,-82.25,1
"176",121857,5.25,-91.75,1
"177",121858,5.25,-91.25,1
"178",121859,5.25,-90.75,1
"179",121860,5.25,-90.25,1
"180",121861,5.25,-89.75,1.01404039141315
"181",121862,5.25,-89.25,0.682937292576004
"182",121863,5.25,-88.75,0.0134936182492179
"183",121864,5.25,-88.25,0
"184",121865,5.25,-87.75,0
"185",121866,5.25,-87.25,-6.66133814775094e-16
"186",121867,5.25,-86.75,0
"187",121868,5.25,-86.25,0.335293775285671
"188",121869,5.25,-85.75,1.01404039141315
"189",121870,5.25,-85.25,1
"190",121871,5.25,-84.75,1
"191",121872,5.25,-84.25,1
"192",121873,5.25,-83.75,1
"193",121874,5.25,-83.25,1
"194",121875,5.25,-82.75,1
"195",121876,5.25,-82.25,1
"196",122577,4.75,-91.75,1
"197",122578,4.75,-91.25,1
"198",122579,4.75,-90.75,1
"199",122580,4.75,-90.25,1
"200",122581,4.75,-89.75,1.01404039141315
"201",122582,4.75,-89.25,0.684053076099996
"202",122583,4.75,-88.75,0.0418224616453293
"203",122584,4.75,-88.25,0.0299436906267793
"204",122585,4.75,-87.75,0.0301675842415615
"205",122586,4.75,-87.25,0.0300440283983968
"206",122587,4.75,-86.75,0.0295732327844578
"207",122588,4.75,-86.25,0.343112830674879
"208",122589,4.75,-85.75,1.01404039141315
"209",122590,4.75,-85.25,1
"210",122591,4.75,-84.75,1
"211",122592,4.75,-84.25,1
"212",122593,4.75,-83.75,1
"213",122594,4.75,-83.25,1
"214",122595,4.75,-82.75,1
"215",122596,4.75,-82.25,1
"216",123297,4.25,-91.75,1
"217",123298,4.25,-91.25,1
"218",123299,4.25,-90.75,1
"219",123300,4.25,-90.25,1
"220",123301,4.25,-89.75,1.01404039141315
"221",123302,4.25,-89.25,0.684764097751502
"222",123303,4.25,-88.75,0.5
"223",123304,4.25,-88.25,0.5
"224",123305,4.25,-87.75,0.5
"225",123306,4.25,-87.25,0.5
"226",123307,4.25,-86.75,0.5
"227",123308,4.25,-86.25,0.531730445408147
"228",123309,4.25,-85.75,1.01404039141315
"229",123310,4.25,-85.25,1
"230",123311,4.25,-84.75,1
"231",123312,4.25,-84.25,1
"232",123313,4.25,-83.75,1
"233",123314,4.25,-83.25,1
"234",123315,4.25,-82.75,1
"235",123316,4.25,-82.25,1
"236",124017,3.75,-91.75,1
"237",124018,3.75,-91.25,1
"238",124019,3.75,-90.75,1
"239",124020,3.75,-90.25,1
"240",124021,3.75,-89.75,1.01404039141315
"241",124022,3.75,-89.25,0.685071083107557
"242",124023,3.75,-88.75,0.5
"243",124024,3.75,-88.25,0.5
"244",124025,3.75,-87.75,0.5
"245",124026,3.75,-87.25,0.5
"246",124027,3.75,-86.75,0.5
"247",124028,3.75,-86.25,0.532102441960774
"248",124029,3.75,-85.75,1.01404039141315
"249",124030,3.75,-85.25,1
"250",124031,3.75,-84.75,1
"251",124032,3.75,-84.25,1
"252",124033,3.75,-83.75,1
"253",124034,3.75,-83.25,1
"254",124035,3.75,-82.75,1
"255",124036,3.75,-82.25,1
"256",124737,3.25,-91.75,1
"257",124738,3.25,-91.25,1
"258",124739,3.25,-90.75,1
"259",124740,3.25,-90.25,1
"260",124741,3.25,-89.75,1.01404039141315
"261",124742,3.25,-89.25,0.865717312707867
"262",124743,3.25,-88.75,0.569837520779353
"263",124744,3.25,-88.25,0.5
"264",124745,3.25,-87.75,0.5
"265",124746,3.25,-87.25,0.5
"266",124747,3.25,-86.75,0.5
"267",124748,3.25,-86.25,0.532627673189378
"268",124749,3.25,-85.75,1.01404039141315
"269",124750,3.25,-85.25,1
"270",124751,3.25,-84.75,1
"271",124752,3.25,-84.25,1
"272",124753,3.25,-83.75,1
"273",124754,3.25,-83.25,1
"274",124755,3.25,-82.75,1
"275",124756,3.25,-82.25,1
"276",125457,2.75,-91.75,1
"277",125458,2.75,-91.25,1
"278",125459,2.75,-90.75,1
"279",125460,2.75,-90.25,1
"280",125461,2.75,-89.75,1.01404039141315
"281",125462,2.75,-89.25,1.01404039141315
"282",125463,2.75,-88.75,0.987677621154165
"283",125464,2.75,-88.25,0.77559751844434
"284",125465,2.75,-87.75,0.53197537661576
"285",125466,2.75,-87.25,0.5
"286",125467,2.75,-86.75,0.5
"287",125468,2.75,-86.25,0.533306094798606
"288",125469,2.75,-85.75,1.01404039141315
"289",125470,2.75,-85.25,1
"290",125471,2.75,-84.75,1
"291",125472,2.75,-84.25,1
"292",125473,2.75,-83.75,1
"293",125474,2.75,-83.25,1
"294",125475,2.75,-82.75,1
"295",125476,2.75,-82.25,1
"296",126177,2.25,-91.75,1
"297",126178,2.25,-91.25,1
