"","Seq","Lat","Lon","prop"
"1",115377,9.75,-91.75,1.5
"2",115378,9.75,-91.25,1.5
"3",115379,9.75,-90.75,1.5
"4",115380,9.75,-90.25,1.5
"5",115381,9.75,-89.75,1.5
"6",115382,9.75,-89.25,1.5
"7",115383,9.75,-88.75,1.5
"8",115384,9.75,-88.25,1.5
"9",115385,9.75,-87.75,1.5
"10",115386,9.75,-87.25,1.5
"11",115387,9.75,-86.75,1.5
"12",115388,9.75,-86.25,1.5
"13",115389,9.75,-85.75,1.5
"14",115390,9.75,-85.25,1.5
"15",115391,9.75,-84.75,1.5
"16",115392,9.75,-84.25,1.5
"17",115395,9.75,-82.75,1.5
"18",115396,9.75,-82.25,1.5
"19",116097,9.25,-91.75,1.5
"20",116098,9.25,-91.25,1.5
"21",116099,9.25,-90.75,1.5
"22",116100,9.25,-90.25,1.5
"23",116101,9.25,-89.75,1.5
"24",116102,9.25,-89.25,1.5
"25",116103,9.25,-88.75,1.5
"26",116104,9.25,-88.25,1.5
"27",116105,9.25,-87.75,1.5
"28",116106,9.25,-87.25,1.5
"29",116107,9.25,-86.75,1.5
"30",116108,9.25,-86.25,1.5
"31",116109,9.25,-85.75,1.5
"32",116110,9.25,-85.25,1.5
"33",116111,9.25,-84.75,1.5
"34",116112,9.25,-84.25,1.5
"35",116113,9.25,-83.75,1.5
"36",116116,9.25,-82.25,1.5
"37",116817,8.75,-91.75,1.5
"38",116818,8.75,-91.25,1.5
"39",116819,8.75,-90.75,1.5
"40",116820,8.75,-90.25,1.5
"41",116821,8.75,-89.75,1.5
"42",116822,8.75,-89.25,1.5
"43",116823,8.75,-88.75,1.5
"44",116824,8.75,-88.25,1.5
"45",116825,8.75,-87.75,1.5
"46",116826,8.75,-87.25,1.5
"47",116827,8.75,-86.75,1.5
"48",116828,8.75,-86.25,1.5
"49",116829,8.75,-85.75,1.5
"50",116830,8.75,-85.25,1.5
"51",116831,8.75,-84.75,1.5
"52",116832,8.75,-84.25,1.5
"53",116833,8.75,-83.75,1.5
"54",116834,8.75,-83.25,1.5
"55",116836,8.75,-82.25,1.5
"56",117537,8.25,-91.75,1.5
"57",117538,8.25,-91.25,1.5
"58",117539,8.25,-90.75,1.5
"59",117540,8.25,-90.25,1.5
"60",117541,8.25,-89.75,1.5
"61",117542,8.25,-89.25,1.5
