"","Seq","Lat","Lon","prop","status"
"123",119704,6.75,-88.25,0.926632146830481,"protected"
"124",119705,6.75,-87.75,0.926308827474388,"protected"
"125",119706,6.75,-87.25,0.926487340464421,"protected"
"126",119707,6.75,-86.75,0.927167385732603,"protected"
"127",119708,6.75,-86.25,0.932887355167232,"protected"
"128",119709,6.75,-85.75,1.01404039141315,"surrounding"
"129",119710,6.75,-85.25,1,"open"
"130",119711,6.75,-84.75,1,"open"
"131",119712,6.75,-84.25,1,"open"
"132",119713,6.75,-83.75,1,"open"
"133",119714,6.75,-83.25,1,"open"
"134",119715,6.75,-82.75,1,"open"
"135",119716,6.75,-82.25,1,"open"
"136",120417,6.25,-91.75,1,"open"
"137",120418,6.25,-91.25,1,"open"
"138",120419,6.25,-90.75,1,"open"
"139",120420,6.25,-90.25,1,"open"
"140",120421,6.25,-89.75,1.01404039141315,"surrounding"
"141",120422,6.25,-89.25,0.679487740636751,"protected"
"142",120423,6.25,-88.75,0.268665256043051,"protected"
"143",120424,6.25,-88.25,0.261665173775835,"protected"
"144",120425,6.25,-87.75,0.261358096612814,"protected"
"145",120426,6.25,-87.25,0.26152752170752,"protected"
"146",120427,6.25,-86.75,0.262173164878839,"protected"
"147",120428,6.25,-86.25,0.405088517615129,"protected"
"148",120429,6.25,-85.75,1.01404039141315,"surrounding"
"149",120430,6.25,-85.25,1,"open"
"150",120431,6.25,-84.75,1,"open"
"151",120432,6.25,-84.25,1,"open"
"152",120433,6.25,-83.75,1,"open"
"153",120434,6.25,-83.25,1,"open"
"154",120435,6.25,-82.75,1,"open"
"155",120436,6.25,-82.25,1,"open"
"156",121137,5.75,-91.75,1,"open"
"157",121138,5.75,-91.25,1,"open"
"158",121139,5.75,-90.75,1,"open"
"159",121140,5.75,-90.25,1,"open"
"160",121141,5.75,-89.75,1.01404039141315,"surrounding"
"161",121142,5.75,-89.25,0.681415862413092,"protected"
"162",121143,5.75,-88.75,0.0134057105382487,"protected"
"163",121144,5.75,-88.25,0,"protected"
"164",121145,5.75,-87.75,1.11022302462516e-16,"protected"
"165",121146,5.75,-87.25,1.11022302462516e-16,"protected"
"166",121147,5.75,-86.75,-2.22044604925031e-16,"protected"
"167",121148,5.75,-86.25,0.335246681833038,"protected"
"168",121149,5.75,-85.75,1.01404039141315,"surrounding"
"169",121150,5.75,-85.25,1,"open"
"170",121151,5.75,-84.75,1,"open"
"171",121152,5.75,-84.25,1,"open"
"172",121153,5.75,-83.75,1,"open"
"173",121154,5.75,-83.25,1,"open"
"174",121155,5.75,-82.75,1,"open"
"175",121156,5.75,-82.25,1,"open"
"176",121857,5.25,-91.75,1,"open"
"177",121858,5.25,-91.25,1,"open"
"178",121859,5.25,-90.75,1,"open"
"179",121860,5.25,-90.25,1,"open"
"180",121861,5.25,-89.75,1.01404039141315,"surrounding"
"181",121862,5.25,-89.25,0.682937292576004,"protected"
"182",121863,5.25,-88.75,0.0134936182492179,"protected"
"183",121864,5.25,-88.25,0,"protected"
"184",121865,5.25,-87.75,0,"protected"
"185",121866,5.25,-87.25,-6.66133814775094e-16,"protected"
"186",121867,5.25,-86.75,0,"protected"
"187",121868,5.25,-86.25,0.335293775285671,"protected"
"188",121869,5.25,-85.75,1.01404039141315,"surrounding"
"189",121870,5.25,-85.25,1,"open"
"190",121871,5.25,-84.75,1,"open"
"191",121872,5.25,-84.25,1,"open"
"192",121873,5.25,-83.75,1,"open"
"193",121874,5.25,-83.25,1,"open"
"194",121875,5.25,-82.75,1,"open"
"195",121876,5.25,-82.25,1,"open"
"196",122577,4.75,-91.75,1,"open"
"197",122578,4.75,-91.25,1,"open"
"198",122579,4.75,-90.75,1,"open"
"199",122580,4.75,-90.25,1,"open"
"200",122581,4.75,-89.75,1.01404039141315,"surrounding"
"201",122582,4.75,-89.25,0.684053076099996,"protected"
"202",122583,4.75,-88.75,0.0418224616453293,"protected"
"203",122584,4.75,-88.25,0.0299436906267793,"protected"
"204",122585,4.75,-87.75,0.0301675842415615,"protected"
"205",122586,4.75,-87.25,0.0300440283983968,"protected"
"206",122587,4.75,-86.75,0.0295732327844578,"protected"
"207",122588,4.75,-86.25,0.343112830674879,"protected"
"208",122589,4.75,-85.75,1.01404039141315,"surrounding"
"209",122590,4.75,-85.25,1,"open"
"210",122591,4.75,-84.75,1,"open"
"211",122592,4.75,-84.25,1,"open"
"212",122593,4.75,-83.75,1,"open"
"213",122594,4.75,-83.25,1,"open"
"214",122595,4.75,-82.75,1,"open"
"215",122596,4.75,-82.25,1,"open"
"216",123297,4.25,-91.75,1,"open"
"217",123298,4.25,-91.25,1,"open"
"218",123299,4.25,-90.75,1,"open"
"219",123300,4.25,-90.25,1,"open"
"220",123301,4.25,-89.75,1.01404039141315,"surrounding"
"221",123302,4.25,-89.25,0.684764097751502,"protected"
"222",123303,4.25,-88.75,0.5,"protected"
"223",123304,4.25,-88.25,0.5,"protected"
"224",123305,4.25,-87.75,0.5,"protected"
"225",123306,4.25,-87.25,0.5,"protected"
"226",123307,4.25,-86.75,0.5,"protected"
"227",123308,4.25,-86.25,0.531730445408147,"protected"
"228",123309,4.25,-85.75,1.01404039141315,"surrounding"
"229",123310,4.25,-85.25,1,"open"
"230",123311,4.25,-84.75,1,"open"
"231",123312,4.25,-84.25,1,"open"
"232",123313,4.25,-83.75,1,"open"
"233",123314,4.25,-83.25,1,"open"
"234",123315,4.25,-82.75,1,"open"
"235",123316,4.25,-82.25,1,"open"
"236",124017,3.75,-91.75,1,"open"
"237",124018,3.75,-91.25,1,"open"
"238",124019,3.75,-90.75,1,"open"
"239",124020,3.75,-90.25,1,"open"
"240",124021,3.75,-89.75,1.01404039141315,"surrounding"
